<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.12.02	00:00:00	1.10227	1.10260	1.10208	1.10212	426	0	2
2019.12.02	00:30:00	1.10212	1.10214	1.10206	1.10209	197	0	2
2019.12.02	01:00:00	1.10209	1.10213	1.10174	1.10184	350	0	0
2019.12.02	01:30:00	1.10184	1.10192	1.10170	1.10184	302	0	0
2019.12.02	02:00:00	1.10184	1.10184	1.10153	1.10178	642	0	0
2019.12.02	02:30:00	1.10178	1.10196	1.10172	1.10195	326	0	0
2019.12.02	03:00:00	1.10195	1.10208	1.10192	1.10208	296	0	0
2019.12.02	03:30:00	1.10208	1.10208	1.10176	1.10183	314	0	0
2019.12.02	04:00:00	1.10184	1.10212	1.10172	1.10194	338	0	0
2019.12.02	04:30:00	1.10194	1.10200	1.10168	1.10168	248	0	0
2019.12.02	05:00:00	1.10168	1.10186	1.10167	1.10174	230	0	0
2019.12.02	05:30:00	1.10174	1.10188	1.10168	1.10179	235	0	0
2019.12.02	06:00:00	1.10179	1.10206	1.10179	1.10198	161	0	0
2019.12.02	06:30:00	1.10198	1.10203	1.10186	1.10186	159	0	0
2019.12.02	07:00:00	1.10186	1.10199	1.10182	1.10192	265	0	0
2019.12.02	07:30:00	1.10192	1.10204	1.10186	1.10191	209	0	0
2019.12.02	08:00:00	1.10191	1.10192	1.10162	1.10168	322	0	0
2019.12.02	08:30:00	1.10168	1.10184	1.10166	1.10168	315	0	0
2019.12.02	09:00:00	1.10168	1.10224	1.10160	1.10194	912	0	0
2019.12.02	09:30:00	1.10196	1.10228	1.10164	1.10172	1101	0	0
2019.12.02	10:00:00	1.10172	1.10212	1.10160	1.10182	1159	0	0
2019.12.02	10:30:00	1.10181	1.10188	1.10132	1.10134	1227	0	0
2019.12.02	11:00:00	1.10134	1.10153	1.10110	1.10138	990	0	0
2019.12.02	11:30:00	1.10139	1.10170	1.10119	1.10143	756	0	0
2019.12.02	12:00:00	1.10143	1.10168	1.10139	1.10148	664	0	0
2019.12.02	12:30:00	1.10148	1.10165	1.10116	1.10116	554	0	0
2019.12.02	13:00:00	1.10116	1.10155	1.10112	1.10138	799	0	0
2019.12.02	13:30:00	1.10138	1.10140	1.10076	1.10082	880	0	0
2019.12.02	14:00:00	1.10082	1.10088	1.10030	1.10082	838	0	0
2019.12.02	14:30:00	1.10082	1.10192	1.10066	1.10190	1048	0	0
2019.12.02	15:00:00	1.10191	1.10262	1.10191	1.10251	1168	0	0
2019.12.02	15:30:00	1.10250	1.10368	1.10238	1.10327	1399	0	0
2019.12.02	16:00:00	1.10328	1.10432	1.10327	1.10402	1291	0	0
2019.12.02	16:30:00	1.10402	1.10464	1.10402	1.10445	1319	0	0
2019.12.02	17:00:00	1.10447	1.10745	1.10447	1.10736	3352	0	0
2019.12.02	17:30:00	1.10736	1.10767	1.10675	1.10708	2322	0	0
2019.12.02	18:00:00	1.10708	1.10897	1.10708	1.10882	1589	0	0
2019.12.02	18:30:00	1.10882	1.10892	1.10753	1.10758	1663	0	0
2019.12.02	19:00:00	1.10758	1.10780	1.10712	1.10762	1211	0	0
2019.12.02	19:30:00	1.10762	1.10772	1.10702	1.10750	1310	0	0
